departamento,municipio,camara_comercio,empresarios_afectados,apoyo_recibido,aliados,recursos_propios
Quindío,Armenia,Armenia,432,Valoración de riesgos en infraestructuras,Comfenalco; Alcaldía de Armenía; Constructora Poporo; Fundación Construyendo Bienestar,Estrategias:; “Cadena de favores empresariales”; “El Quindío se reactiva”
Quindío,Buenavista,Armenia,3,,,
Quindío,Calarca,Armenia,63,,,
Quindío,Circasia,Armenia,50,,,
Quindío,Cordoba,Armenia,3,,,
Quindío,Filandia,Armenia,36,,,
Quindío,Genova,Armenia,2,,,
Quindío,La Tebaida,Armenia,0,,,
Quindío,Montenegro,Armenia,204,,,
Quindío,Pijao,Armenia,3,,,
Quindío,Quimbaya,Armenia,120,,,
Quindío,Salento,Armenia,18,,,
Valle del Cauca,Buenaventura,Buenaventura,319,Mercado,Banco de alimentos de la Diócesis; Cámara de Comercio de Cali; Gobernación del Valle   ; Alcaldía de Buenaventura,Están revisando programa de atención a los empresarios en entrega de activos
Valle del Cauca,Buga,Buga,11,"Asesorias jurídicas
Revisión de predios
Acompañamiento psicológico",Alcaldía municipal de Buga; Alcaldía municipal de Yotoco; Alcaldía municipal de Restrepo; Comfadi,Estrategias de reactivación comercial por sectores
Valle del Cauca,Calima (darien),Buga,44,,,
Valle del Cauca,El Cerrito,Buga,3,,,
Valle del Cauca,Ginebra,Buga,1,,,
Valle del Cauca,Guacari,Buga,5,,,
Valle del Cauca,Restrepo,Buga,7,,,
Valle del Cauca,San Pedro,Buga,11,,,
Valle del Cauca,Yotoco,Buga,23,,,
Valle del Cauca,Cali,Cali,2008,,Gobernación del Valle ; Alcaldía de Cali; Profacífico ; ANDI; Comfandi,
Valle del Cauca,Dagua,Cali,37,,,
Valle del Cauca,Jamundi,Cali,53,,,
Valle del Cauca,La Cumbre,Cali,20,,,
Valle del Cauca,Vijes,Cali,7,,,
Valle del Cauca,Yumbo,Cali,50,,,
Chocó,San Jose del Palmar,Cartago,4,,Gobernación del Valle ; Banco Agrario; Alcaldía de Roldanillo; Asociación de Empresarios Roldanillenses; Colombina,"Implementación de estrategias de fortalecimiento empresarial, promoción comercial, relacionamiento empresarial y dinamización económica."
Valle del Cauca,Alcala,Cartago,34,,,
Valle del Cauca,Ansermanuevo,Cartago,28,,,
Valle del Cauca,Argelia,Cartago,61,,,
Valle del Cauca,Cartago,Cartago,126,,,
Valle del Cauca,El Aguila,Cartago,21,,,
Valle del Cauca,El Cairo,Cartago,35,,,
