nivel,departamento,municipio,dimension,indicador_id,indicador,unidad,fuente,valor
departamental,Quindío,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,16.0
departamental,Quindío,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,41.0
departamental,Quindío,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,82.0
departamental,Quindío,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,62.0
departamental,Quindío,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,68.0
departamental,Chocó,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,14.0
departamental,Chocó,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,49.0
departamental,Chocó,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,71.0
departamental,Chocó,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,18.0
departamental,Chocó,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,46.0
departamental,Caldas,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,39.0
departamental,Caldas,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,59.0
departamental,Caldas,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,165.0
departamental,Caldas,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,181.0
departamental,Caldas,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,159.0
departamental,Risaralda,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,25.0
departamental,Risaralda,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,35.0
departamental,Risaralda,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,103.0
departamental,Risaralda,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,35.0
departamental,Risaralda,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,109.0
departamental,Valle del Cauca,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,93.0
departamental,Valle del Cauca,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,121.0
departamental,Valle del Cauca,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,244.0
departamental,Valle del Cauca,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,80.0
departamental,Valle del Cauca,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,263.0
departamental,Tolima,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,11.0
departamental,Tolima,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,12.0
departamental,Tolima,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,22.0
departamental,Tolima,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,11.0
departamental,Tolima,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,34.0
departamental,Cauca,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,11.0
departamental,Cauca,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,5.0
departamental,Cauca,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,18.0
departamental,Cauca,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,9.0
departamental,Cauca,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,18.0
departamental,Cundinamarca,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,8.0
departamental,Cundinamarca,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,12.0
departamental,Cundinamarca,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,26.0
departamental,Cundinamarca,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,15.0
departamental,Cundinamarca,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,37.0
departamental,Antioquia,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,17.0
departamental,Antioquia,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,20.0
departamental,Antioquia,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,74.0
departamental,Antioquia,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,28.0
departamental,Antioquia,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,60.0
departamental,Santander,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,1.0
departamental,Santander,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,5.0
departamental,Santander,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,5.0
departamental,Santander,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,9.0
