departamento,municipio,gravedad_oficial,puntos_dano,poblacion,poblacion_texto,nota
Antioquia,Abejorral,Sin clasificación oficial,3,21000,21 mil,
Antioquia,Alejandría,Sin clasificación oficial,0,5000,5 mil,
Antioquia,Amagá,Sin clasificación oficial,1,33000,33 mil,
Antioquia,Amalfi,Sin clasificación oficial,0,29000,29 mil,
Antioquia,Andes,Sin clasificación oficial,12,45000,45 mil,
Antioquia,Angelópolis,Sin clasificación oficial,0,6000,6 mil,
Antioquia,Angostura,Sin clasificación oficial,0,13000,13 mil,
Antioquia,Anzá,Sin clasificación oficial,1,8000,8 mil,
Antioquia,Apartadó,Sin clasificación oficial,1,126000,126 mil,
Antioquia,Argelia,Sin clasificación oficial,5,8000,8 mil,
Antioquia,Armenia,Sin clasificación oficial,0,5000,5 mil,"Declarado afectado en el reparto municipal del EDAN de viviendas de la UNGRD (capa 3iS/iMMAP para OCHA, 12-08-2026), y entre los 90 municipios afectados que enumeró la Gobernación de Antioquia (El Colombiano, 12-08-2026)."
Antioquia,Barbosa,Sin clasificación oficial,0,64000,64 mil,
Antioquia,Bello,Sin clasificación oficial,4,609000,609 mil,
Antioquia,Betania,Sin clasificación oficial,0,11000,11 mil,
Antioquia,Betulia,Sin clasificación oficial,3,17000,17 mil,
Antioquia,Caicedo,Sin clasificación oficial,0,9000,9 mil,
Antioquia,Caldas,Sin clasificación oficial,1,90000,90 mil,
Antioquia,Campamento,Sin clasificación oficial,0,10000,10 mil,
Antioquia,Caracolí,Sin clasificación oficial,0,4000,4 mil,
Antioquia,Caramanta,Sin clasificación oficial,3,4000,4 mil,
Antioquia,Carepa,Sin clasificación oficial,1,51000,51 mil,
Antioquia,Carolina del Príncipe,Sin clasificación oficial,0,4000,4 mil,
Antioquia,Caucasia,Sin clasificación oficial,2,94000,94 mil,
Antioquia,Cañasgordas,Sin clasificación oficial,1,15000,15 mil,
Antioquia,Cisneros,Sin clasificación oficial,2,10000,10 mil,
Antioquia,Ciudad Bolívar,Sin clasificación oficial,2,28000,28 mil,
Antioquia,Cocorná,Sin clasificación oficial,0,16000,16 mil,
Antioquia,Concepción,Sin clasificación oficial,0,5000,5 mil,
Antioquia,Concordia,Sin clasificación oficial,2,22000,22 mil,
Antioquia,Copacabana,Sin clasificación oficial,2,92000,92 mil,
Antioquia,Dabeiba,Sin clasificación oficial,1,25000,25 mil,
Antioquia,Donmatías,Sin clasificación oficial,1,20000,20 mil,
Antioquia,Ebéjico,Sin clasificación oficial,0,13000,13 mil,
Antioquia,El Bagre,Sin clasificación oficial,0,57000,57 mil,
Antioquia,El Peñol,Sin clasificación oficial,1,24000,24 mil,
Antioquia,El Retiro,Sin clasificación oficial,2,28000,28 mil,
Antioquia,El Santuario,Sin clasificación oficial,1,41000,41 mil,
Antioquia,Entrerríos,Sin clasificación oficial,0,13000,13 mil,
Antioquia,Envigado,Sin clasificación oficial,1,268000,268 mil,
Antioquia,Fredonia,Sin clasificación oficial,3,27000,27 mil,
Antioquia,Frontino,Sin clasificación oficial,0,22000,22 mil,
Antioquia,Giraldo,Sin clasificación oficial,0,6000,6 mil,
Antioquia,Girardota,Sin clasificación oficial,0,62000,62 mil,
Antioquia,Granada,Sin clasificación oficial,1,11000,11 mil,
Antioquia,Guarne,Sin clasificación oficial,1,66000,66 mil,
Antioquia,Gómez Plata,Sin clasificación oficial,0,10000,10 mil,
Antioquia,Heliconia,Sin clasificación oficial,0,5000,5 mil,
Antioquia,Hispania,Sin clasificación oficial,4,6000,6 mil,
Antioquia,Itagüí,Sin clasificación oficial,2,306000,306 mil,
Antioquia,Ituango,Sin clasificación oficial,2,30000,30 mil,
