Código DANE;Sede;Severidad;Estado físico;Matrícula total;Aporte % ETC;Sector;Zona;Primera infancia;Primaria;Secundaria;Media;Adultos;Municipio;Docentes;Directivos docentes;Secretaría;Departamento;En Decreto 1171 de 2026;Organizaciones aliadas
152001000777;I.E.M. CIUDAD DE PASTO - SEDE PRINCIPAL;1;Bajo;3022;5.1024;OFICIAL;URBANA;91;650;1615;666;0;Pasto;165;9;Pasto;Nariño;NO;
125754003291;SEDE PRINCIPAL;1;Bajo;3002;2.4018;OFICIAL;URBANA;217;963;1169;460;193;Soacha;93;5;Soacha;Cundinamarca;;Red Papaz
127001003453;SEDE ANEXA AL CARRASQUILLA INDUSTRIAL;3;Crítico;2975;8.0992;OFICIAL;URBANA;196;1497;1282;0;0;Quibdó;51;;Quibdó;Chocó;SI;Natura Cosmeticos Ltda.
125754800329;SEDE PRINCIPAL;1;Bajo;2878;2.3026;OFICIAL;URBANA;239;1221;978;440;0;Soacha;86;5;Soacha;Cundinamarca;;Claro Colombia
125754005464;SEDE PRINCIPAL;1;Bajo;2859;2.2874;OFICIAL;URBANA;149;1180;1073;457;0;Soacha;86;7;Soacha;Cundinamarca;;
105541000026;I. E. LEON XIII;2;Moderado;2563;0.5906;OFICIAL;URBANA;175;1104;805;351;128;Peñol;81;5;Antioquia;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia) | Fundación Fraternidad Medellín
166001006008;INSTITUCION EDUCATIVA CIUDADELA CUBA;3;Crítico;2555;3.3002;OFICIAL;URBANA;123;633;967;385;447;Pereira;111;6;Pereira;Risaralda;;
176109001806;INSTITTUCION EDUCATIVA TEOFILO ROBERTO POTES;2;Moderado;2429;4.3544;OFICIAL;URBANA;110;768;993;449;109;Buenaventura;95;6;Buenaventura;Valle del Cauca;SI;Fundación Carvajal | Fundación SURA
125754000331;SEDE PRINCIPAL;1;Bajo;2429;1.9433;OFICIAL;URBANA;0;199;1612;618;0;Soacha;84;7;Soacha;Cundinamarca;;Fundación Corona
105001026000;INSTITUCION EDUCATIVA CIUDADELA NUEVO OCCIDENTE;1;Bajo;2416;0.6637;OFICIAL;URBANA;195;787;695;345;394;Medellín;69;5;Medellín;Antioquia;;Fundación Carvajal
173001000367;LICEO NACIONAL;2;Moderado;2413;2.51;OFICIAL;URBANA;136;1007;889;381;0;Ibagué;108;4;Ibague;Tolima;SI;
105001001236;INSTITUCION EDUCATIVA MONTECARLO GUILLERMO GAVIRIA CORREA;1;Bajo;2399;0.659;OFICIAL;URBANA;192;925;652;229;401;Medellín;69;5;Medellín;Antioquia;;Fundación Nutresa | Red Papaz
176109000575;NORMAL JUAN LADRILLEROS;2;Moderado;2352;4.2163;OFICIAL;URBANA;187;864;831;346;124;Buenaventura;98;7;Buenaventura;Valle del Cauca;SI;Fundación Carvajal | Fundación SURA
105001000256;INSTITUCION EDUCATIVA HECTOR ABAD GOMEZ;1;Bajo;2320;0.6373;OFICIAL;URBANA;61;366;694;235;964;Medellín;66;5;Medellín;Antioquia;;Colombia Evidencia Potencial en Educación | Fundación Carvajal | Fundación Nutresa | Fundación SURA
105360001055;INSTITUCION EDUCATIVA DIEGO ECHAVARRIA MISAS;1;Bajo;2294;6.1327;OFICIAL;URBANA;113;756;791;369;265;Itagüí;75;6;Itagui;Antioquia;SI;Comfama (Caja de Compensación Familiar de Antioquia) | Fundación Carvajal | Fundación Nutresa
176001005813;INSTITUCION EDUCATIVA INEM JORGE ISAACS;2;Moderado;2292;0.7468;OFICIAL;URBANA;0;0;1433;859;0;Cali;160;9;Cali;Valle del Cauca;SI;Fundación Carvajal | Tecnoquimicas S.A.
166001002061;INSTITUCION EDUCATIVA INSTITUTO TECNICO SUPERIOR;3;Crítico;2229;2.8791;OFICIAL;URBANA;0;483;1131;615;0;Pereira;108;6;Pereira;Risaralda;;
105212000163;COLEGIO JOSE MIGUEL DE RESTREPO Y PUERTA;2;Moderado;2219;0.5113;OFICIAL;URBANA;105;785;889;349;91;Copacabana;81;6;Antioquia;Antioquia;;Fundación Incolmotos Yamaha
152356000182;INSTITUCION EDUCATIVA CIUDAD DE IPIALES;1;Bajo;2174;10.3371;OFICIAL;URBANA;144;878;807;345;0;Ipiales;99;5;Ipiales;Nariño;NO;
105001003441;INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO;1;Bajo;2150;0.5906;OFICIAL;URBANA;0;0;1671;479;0;Medellín;87;5;Medellín;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia)
176001017374;INSTITUCION EDUCATIVA GABRIELA MISTRAL;2;Moderado;2128;0.6934;OFICIAL;URBANA;91;653;753;430;201;Cali;84;4;Cali;Valle del Cauca;SI;Tecnoquimicas S.A.
327001000241;IE NORMAL SUPERIOR MANUEL CAÑIZALEZ;3;Crítico;2119;5.7688;OFICIAL;URBANA;162;840;772;262;83;Quibdó;86;5;Quibdó;Chocó;SI;
123001000157;IE NORMAL SUPERIOR;2;Moderado;2113;2.143;;URBANA;160;818;647;209;279;Montería;82;7;Monteria;Córdoba;;Red Papaz
105001013340;INSTITUCION EDUCATIVA INEM JOSE FELIX DE RESTREPO;2;Moderado;2107;0.5788;OFICIAL;URBANA;0;91;1022;994;0;Medellín;135;5;Medellín;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia)
125286000123;CONCENTRACION URBANA MIGUEL ANTONIO CARO;1;Bajo;2099;11.5323;OFICIAL;URBANA;128;800;722;220;229;Funza;58;;Funza;Cundinamarca;SI;
125430000842;INSTITUCION EDUCATIVA DEPARTAMENTAL TECNOLOGICO DE MADRID;2;Moderado;2077;0.7751;OFICIAL;URBANA;0;229;1068;389;391;Madrid;72;6;Cundinamarca;Cundinamarca;;Fundación Alquería Cavelier | Fundación Nutresa
125430800067;INSTITUCION EDUCATIVA DEPARTAMENTAL TIBAITATA;1;Bajo;2068;0.7717;OFICIAL;URBANA;130;781;959;198;0;Madrid;60;6;Cundinamarca;Cundinamarca;;Fundación Alquería Cavelier | Fundación Nutresa
205837000310;CURRULAO;2;Moderado;2058;5.4969;OFICIAL;RURAL;0;840;755;224;239;Turbo;70;5;Turbo;Antioquia;SI;Claro Colombia | Comfama (Caja de Compensación Familiar de Antioquia) | Fundación Carvajal
105266000461;I.E. NORMAL SUPERIOR DE ENVIGADO - SEDE PRINCIPAL;2;Moderado;2033;6.9514;;URBANA;122;718;779;302;112;Envigado;99;5;Envigado;Antioquia;;Fundación Carvajal
125430000281;INSTITUCION EDUCATIVA DEPARTAMENTAL SERREZUELA;1;Bajo;1976;0.7374;OFICIAL;URBANA;0;0;1335;536;105;Madrid;81;6;Cundinamarca;Cundinamarca;;Fundación Alquería Cavelier | Fundación Nutresa | Natura Cosmeticos Ltda.
225817000268;INSTITUCION EDUCATIVA TÉCNICO INDUSTRIAL;2;Moderado;1967;0.734;OFICIAL;RURAL;0;0;1241;504;222;Tocancipá;70;7;Cundinamarca;Cundinamarca;;Fundación Alquería Cavelier | Fundación Nutresa | Natura Cosmeticos Ltda.
163001000868;SANTA EUFRASIA;3;Crítico;1943;4.8019;OFICIAL;URBANA;311;1210;422;0;0;Armenia;59;;Armenia;Quindio;SI;
105001006980;INSTITUCION EDUCATIVA CONCEJO DE MEDELLIN;1;Bajo;1940;0.5329;OFICIAL;URBANA;0;0;1245;568;127;Medellín;74;5;Medellín;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia) | Red Papaz
141551001230;IE MUNICIPAL NACIONAL - SEDE PRINCIPAL;2;Moderado;1921;6.1539;OFICIAL;URBANA;0;0;1477;347;97;Pitalito;66;5;Pitalito;Huila;;
276130000245;INSTITUCION EDUCATIVA SANTA RITA DE CASSIA;1;Bajo;1904;1.4631;OFICIAL;RURAL;70;920;707;207;0;Candelaria;91;3;Valle;Valle del Cauca;;
105001021873;INSTITUCION EDUCATIVA SOL DE ORIENTE;1;Bajo;1901;0.5222;OFICIAL;URBANA;151;903;610;237;0;Medellín;50;3;Medellín;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia) | Red Papaz
105147000401;COLEGIO COLOMBIA;2;Moderado;1878;0.4328;OFICIAL;URBANA;0;535;642;264;437;Carepa;59;4;Antioquia;Antioquia;;Claro Colombia | Comfama (Caja de Compensación Familiar de Antioquia) | Fundación Fraternidad Medellín | Fundación Postobón
105837004922;I.E. FRANCISCO LUIS VALDERRAMA VALDERRAMA;2;Moderado;1865;4.9814;OFICIAL;URBANA;130;717;698;320;0;Turbo;71;5;Turbo;Antioquia;SI;Comfama (Caja de Compensación Familiar de Antioquia) | Fundación Nutresa | Parque Explora
105376000440;COLEGIO LA PAZ;2;Moderado;1845;0.4252;OFICIAL;URBANA;84;677;705;301;78;La Ceja;63;5;Antioquia;Antioquia;;Comfama (Caja de Compensación Familiar de Antioquia) | Fundación Fraternidad Medellín
205001006232;INSTITUCION EDUCATIVA SAN CRISTOBAL;1;Bajo;1844;0.5065;OFICIAL;URBANA;81;576;817;316;54;Medellín;64;4;Medellín;Antioquia;;Fundación Carvajal | Fundación Nutresa
125899000631;I.E.M. INSTITUTO TECNICO INDUSTRIAL - SEDE PRINCIPAL;2;Moderado;1822;6.5556;OFICIAL;URBANA;50;613;801;302;56;Zipaquirá;78;5;Zipaquirá;Cundinamarca;;
105360000491;INSTITUCION EDUCATIVA ORESTE SINDICI;1;Bajo;1794;4.796;OFICIAL;URBANA;113;532;712;288;149;Itagüí;61;5;Itagui;Antioquia;SI;Comfama (Caja de Compensación Familiar de Antioquia) | Fundación Nutresa | Periódico El Mundo
125269001124;I.E.M TÉCNICO EMPRESARIAL CARTAGENA - SEDE PRINCIPAL;3;Crítico;1791;7.4495;OFICIAL;URBANA;128;761;569;217;116;Facatativá;74;5;Facatativá;Cundinamarca;;Aeiotu Soluciones Integrales para la Primera Infancia | Fundación Terpel
176001800206;INSTITUCION EDUCATIVA GENERAL JOSE MARIA CABAL-SEDE PRINCIPAL;2;Moderado;1771;0.5771;OFICIAL;URBANA;120;749;617;214;71;Cali;63;5;Cali;Valle del Cauca;SI;Fundación Scarpetta Gnecco | Tecnoquimicas S.A.
