Código DANE;Sede;Severidad;Estado físico;Matrícula total;Aporte % ETC;Sector;Zona;Primera infancia;Primaria;Secundaria;Media;Adultos;Municipio;Docentes;Directivos docentes;Secretaría;Departamento;En Decreto 1171 de 2026;Organizaciones aliadas
127001003453;SEDE ANEXA AL CARRASQUILLA INDUSTRIAL;3;Crítico;2975;8.0992;OFICIAL;URBANA;196;1497;1282;0;0;Quibdó;51;;Quibdó;Chocó;SI;Natura Cosmeticos Ltda.
327001000241;IE NORMAL SUPERIOR MANUEL CAÑIZALEZ;3;Crítico;2119;5.7688;OFICIAL;URBANA;162;840;772;262;83;Quibdó;86;5;Quibdó;Chocó;SI;
127001004107;IE MIA ROGERIO VELASQUEZ MURILLO;3;Crítico;1671;4.5492;OFICIAL;URBANA;79;589;676;170;157;Quibdó;87;5;Quibdó;Chocó;SI;
127001003127;IE ANTONIO MARIA CLARET;2;Moderado;1652;4.4974;OFICIAL;URBANA;111;572;706;263;0;Quibdó;77;5;Quibdó;Chocó;SI;Natura Cosmeticos Ltda.
227615800095;IE BELEN DE BAJIRA - SEDE PRINCIPAL;2;Moderado;1579;1.3865;OFICIAL;RURAL;159;651;575;157;37;Nuevo Belén de Bajirá;55;4;Choco;Chocó;SI;Colombia Evidencia Potencial en Educación
127001000853;INSTITUCION EDUCATIVA GIMNASIO DE QUIBDO;3;Crítico;1476;4.0183;OFICIAL;URBANA;0;662;608;206;0;Quibdó;56;4;Quibdó;Chocó;SI;Natura Cosmeticos Ltda.
127001000225;IE FEMENINA DE ENSEÑANZA MEDIA;3;Crítico;1294;3.5228;OFICIAL;URBANA;0;0;843;377;74;Quibdó;62;5;Quibdó;Chocó;SI;Natura Cosmeticos Ltda.
327001001000;IE SANTO DOMINGO SAVIO;3;Crítico;1286;3.501;OFICIAL;URBANA;45;255;622;241;123;Quibdó;56;4;Quibdó;Chocó;SI;Fundación Carvajal | Fundación Terpel
127001018001;IE DIOCESANO PEDRO GRAU Y AROLA;3;Crítico;1256;3.4194;OFICIAL;URBANA;0;0;921;268;67;Quibdó;60;6;Quibdó;Chocó;SI;Natura Cosmeticos Ltda.
127361000137;IE INSTITUTO INTEGRADO SAN PABLO INDUSTRIAL - SEDE PRINCIPAL;2;Moderado;1099;0.965;OFICIAL;URBANA;0;0;823;276;0;Istmina;56;4;Choco;Chocó;SI;CORPORACIÓN CENTRO DE INNOVACIÓN DEL PACÍFICO | Colombia Evidencia Potencial en Educación
127001000420;SEDE ANEXA AL IE FEMENINA DE ENSEÑANZA MEDIA;3;Crítico;1094;2.9783;OFICIAL;URBANA;145;949;0;0;0;Quibdó;36;;Quibdó;Chocó;SI;
227073000241;IE INDÍGENA LUIS ENRIQUE ARCE DE AGUASAL - SEDE PRINCIPAL;3;Crítico;1071;0.9404;OFICIAL;RURAL;43;216;559;253;0;Bagadó;14;;Choco;Chocó;SI;
227077000369;IE NUESTRA SEÑORA DEL CARMEN- PUERTO MELUK - SEDE PRINCIPAL;2;Moderado;1014;0.8904;OFICIAL;URBANA;54;365;382;180;33;Medio Baudó;39;3;Choco;Chocó;SI;
127001000446;I.E. NORMAL SUPERIOR DE QUIBDO - SEDE PRINCIPAL;2;Moderado;977;2.6598;OFICIAL;URBANA;0;0;668;241;68;Quibdó;67;6;Quibdó;Chocó;SI;
127361002377;SEDE ANEXA NORMAL SAN PIO X;2;Moderado;834;0.7323;OFICIAL;URBANA;86;748;0;0;0;Istmina;27;;Choco;Chocó;SI;
127361000129;IE NORMAL SUP NTRA SRA DE LAS MERCEDES - SEDE PRINCIPAL;2;Moderado;809;0.7104;OFICIAL;URBANA;0;0;526;205;78;Istmina;54;4;Choco;Chocó;SI;
227001001145;IE MIA JORGE VALENCIA LOZANO;3;Crítico;807;2.197;OFICIAL;URBANA;68;448;232;59;0;Quibdó;38;2;Quibdó;Chocó;SI;Fundación Carvajal
227787001119;IE SAN JOAQUIN - SEDE PRINCIPAL;3;Crítico;799;0.7016;OFICIAL;URBANA;58;305;255;93;88;Unión Panamericana;43;3;Choco;Chocó;SI;
