denominador,codigo,municipio,departamento,poblacion_2026,estimacion_experimental_condicionada_a_existencia,tiene_soporte_minimo,abstencion,ejemplos_patron,banda_error_descriptiva_inferior,banda_error_descriptiva_superior,razones,habilitado_para_indice
consulta_externa,05125,Caicedo,Antioquia,9134,3.35648622231783,true,false,30,1.1720322934162235,6.595245988963682,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
consulta_externa,05138,Cañasgordas,Antioquia,15337,7.158822932064746,true,false,30,2.4997485773781922,14.066555052264556,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
consulta_externa,05347,Heliconia,Antioquia,4961,3.7150437054287817,true,false,30,1.297234937317404,7.299784797011408,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
consulta_externa,27160,Cértegui,Chocó,6063,3.848450665767643,true,false,175,1.3438185534347584,7.56191955991448,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
consulta_externa,27425,Medio Atrato,Chocó,11341,3.0227869398348863,true,false,30,1.0555097429110845,5.939551697808241,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
consulta_externa,27493,Nuevo Belén de Bajirá,Chocó,30508,,false,true,175,,,"[""predictor_fuera_del_rango_de_entrenamiento"",""IPM_no_disponible"",""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
consulta_externa,52405,Leiva,Nariño,9740,3.6905156754735833,true,false,175,1.2886701343367675,7.2515890409545,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
consulta_externa,91430,La Victoria (ANM),Amazonas,691,,false,true,175,,,"[""predictor_fuera_del_rango_de_entrenamiento"",""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
consulta_externa,94884,Puerto Colombia (ANM),Guainía,1980,,false,true,175,,,"[""predictor_fuera_del_rango_de_entrenamiento"",""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
consulta_externa,94885,La Guadalupe (ANM),Guainía,319,,false,true,175,,,"[""predictor_fuera_del_rango_de_entrenamiento"",""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
consulta_externa,94886,Cacahual (ANM),Guainía,907,1.6425415928498908,true,false,175,1,3.227472164169507,"[""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
consulta_externa,94887,Pana Pana (ANM),Guainía,2016,,false,true,175,,,"[""predictor_fuera_del_rango_de_entrenamiento"",""no_se_puede_distinguir_ausencia_real_de_falta_de_registro"",""no_valida_capacidad_2026""]",false
