codigo,municipio,departamento,poblacion_2026,registro_camas,observado_2022,grupo,siempre_1,mediana_comparables,poisson_demografia,poisson_capacidades,seleccion_interna,prediccion_seleccionada
05001,Medellín,Antioquia,2526795,true,148,1,1,12,142.65058159008723,169.68392175677215,siempre_1,1
05002,Abejorral,Antioquia,21126,true,1,1,1,2,2.034438917996803,1.7814353871073614,siempre_1,1
05004,Abriaquí,Antioquia,2804,true,1,1,1,1,1,1,siempre_1,1
05021,Alejandría,Antioquia,5347,true,1,1,1,1,1,1,siempre_1,1
05030,Amagá,Antioquia,33092,true,1,1,1,2,3.5327220351857807,2.3330633246269374,siempre_1,1
05031,Amalfi,Antioquia,29394,true,1,1,1,2,2.603225131574047,2.069661680866375,siempre_1,1
05034,Andes,Antioquia,45436,true,2,1,1,2,3.859117180166424,2.8059755868369636,siempre_1,1
05036,Angelópolis,Antioquia,6214,true,1,1,1,1,1,1,siempre_1,1
05038,Angostura,Antioquia,12558,true,1,1,1,1,1.1558856190812572,1.1243392083524468,siempre_1,1
05040,Anorí,Antioquia,21307,true,1,1,1,2,1.8011160630950729,1,siempre_1,1
05042,Santafé de Antioquia,Antioquia,28673,true,2,1,1,2,2.927581234539467,4.068585525776533,siempre_1,1
05044,Anzá,Antioquia,7737,true,1,1,1,1,1,1,siempre_1,1
05045,Apartadó,Antioquia,125881,true,10,1,1,12,10.159667170273343,13.384703102041813,siempre_1,1
05051,Arboletes,Antioquia,31950,true,1,1,1,2,2.376328139548081,1.930613871088435,siempre_1,1
05055,Argelia,Antioquia,8242,true,1,1,1,1,1,1.106845644289052,siempre_1,1
05059,Armenia,Antioquia,5292,true,1,1,1,1,1,1,siempre_1,1
05079,Barbosa,Antioquia,64314,true,3,1,1,3,6.173673763560435,3.2804125229318712,siempre_1,1
05086,Belmira,Antioquia,6148,true,1,1,1,1,1,1,siempre_1,1
05088,Bello,Antioquia,609168,true,15,1,1,12,43.217982800471,32.96024743374019,siempre_1,1
05091,Betania,Antioquia,10743,true,1,1,1,1,1.017586204232941,1,siempre_1,1
05093,Betulia,Antioquia,17068,true,1,1,1,1,1.5014884200642078,1.4999144282866348,siempre_1,1
05101,Ciudad Bolívar,Antioquia,27720,true,2,1,1,2,2.553718064080939,2.471509638850585,siempre_1,1
05107,Briceño,Antioquia,7905,true,1,1,1,1,1,1,siempre_1,1
05113,Buriticá,Antioquia,11168,true,1,1,1,1,1.0756791775013805,1.0767898405147327,siempre_1,1
05120,Cáceres,Antioquia,28944,true,1,1,1,2,2.0330144170623807,1.5849591705645094,siempre_1,1
05129,Caldas,Antioquia,89671,true,3,1,1,3,8.661473664598834,7.829796190565036,siempre_1,1
05134,Campamento,Antioquia,10063,true,1,1,1,1,1,1,siempre_1,1
05142,Caracolí,Antioquia,4482,true,1,1,1,1,1,1,siempre_1,1
05145,Caramanta,Antioquia,4444,true,1,1,1,1,1,1,siempre_1,1
05147,Carepa,Antioquia,51298,true,3,1,1,3,4.521894602656864,4.220687063365501,siempre_1,1
05148,El Carmen de Viboral,Antioquia,70734,true,2,1,1,3,6.936249116383984,2.857398407426949,siempre_1,1
05150,Carolina,Antioquia,3932,true,1,1,1,1,1,1,siempre_1,1
05154,Caucasia,Antioquia,93976,true,8,1,1,3,7.350750400249178,8.951591495341079,siempre_1,1
05172,Chigorodó,Antioquia,56664,true,2,1,1,3,4.749098439338231,3.9437319984918613,siempre_1,1
05190,Cisneros,Antioquia,10136,true,1,1,1,1,1.247183006485091,1.4068096194550557,siempre_1,1
05197,Cocorná,Antioquia,16099,true,1,1,1,1,1.5864507675535995,1.256330124496578,siempre_1,1
05209,Concordia,Antioquia,22145,true,1,1,1,2,1.952507677258605,1.4431661703437897,siempre_1,1
05212,Copacabana,Antioquia,92069,true,1,1,1,3,9.257444773169578,3.9472171136661514,siempre_1,1
