denominador,codigo,municipio,departamento,poblacion_2026,grupo_validacion,modelo,observado_2022,predicho_sin_ver_departamento,error_predicho_menos_observado
consulta_externa,11001,"Bogotá, D.C.","Bogotá, D.C.",7945996,1,boosting_capacidades,13706,972.5660389712905,-12733.43396102871
consulta_externa,15001,Tunja,Boyacá,191372,1,boosting_capacidades,516,379.36987810979883,-136.63012189020117
consulta_externa,15022,Almeida,Boyacá,1764,1,boosting_capacidades,4,3.110405401666396,-0.8895945983336042
consulta_externa,15047,Aquitania,Boyacá,15292,1,boosting_capacidades,6,6.338147709804234,0.33814770980423425
consulta_externa,15051,Arcabuco,Boyacá,6522,1,boosting_capacidades,5,4.566499539412241,-0.4335004605877586
consulta_externa,15087,Belén,Boyacá,7642,1,boosting_capacidades,7,4.566499539412241,-2.4335004605877586
consulta_externa,15090,Berbeo,Boyacá,1636,1,boosting_capacidades,1,3.110405401666396,2.110405401666396
consulta_externa,15092,Betéitiva,Boyacá,1762,1,boosting_capacidades,4,3.110405401666396,-0.8895945983336042
consulta_externa,15097,Boavita,Boyacá,5169,1,boosting_capacidades,4,4.5963508599725715,0.5963508599725715
consulta_externa,15104,Boyacá,Boyacá,5313,1,boosting_capacidades,4,4.449168644116926,0.44916864411692625
consulta_externa,15106,Briceño,Boyacá,2257,1,boosting_capacidades,1,3.129687248315442,2.129687248315442
consulta_externa,15109,Buenavista,Boyacá,4519,1,boosting_capacidades,5,4.570221041274976,-0.4297789587250236
consulta_externa,15114,Busbanzá,Boyacá,1342,1,boosting_capacidades,4,3.08477156904911,-0.91522843095089
consulta_externa,15131,Caldas,Boyacá,2797,1,boosting_capacidades,4,3.110405401666396,-0.8895945983336042
consulta_externa,15135,Campohermoso,Boyacá,3187,1,boosting_capacidades,4,3.6164474246460863,-0.38355257535391374
consulta_externa,15162,Cerinza,Boyacá,3527,1,boosting_capacidades,4,3.957413343237061,-0.04258665676293916
consulta_externa,15172,Chinavita,Boyacá,3049,1,boosting_capacidades,4,3.110405401666396,-0.8895945983336042
consulta_externa,15176,Chiquinquirá,Boyacá,58330,1,boosting_capacidades,96,81.38707369951265,-14.612926300487345
consulta_externa,15180,Chiscas,Boyacá,4106,1,boosting_capacidades,1,3.1788344848602708,2.1788344848602708
consulta_externa,15183,Chita,Boyacá,8255,1,boosting_capacidades,4,3.8107438068009554,-0.18925619319904463
consulta_externa,15185,Chitaraque,Boyacá,5969,1,boosting_capacidades,5,4.449168644116926,-0.5508313558830737
consulta_externa,15187,Chivatá,Boyacá,2858,1,boosting_capacidades,4,3.110405401666396,-0.8895945983336042
consulta_externa,15189,Ciénega,Boyacá,4499,1,boosting_capacidades,5,4.570221041274976,-0.4297789587250236
consulta_externa,15204,Cómbita,Boyacá,13539,1,boosting_capacidades,5,6.074429577505569,1.074429577505569
consulta_externa,15212,Coper,Boyacá,3456,1,boosting_capacidades,5,3.946462335140176,-1.053537664859824
consulta_externa,15215,Corrales,Boyacá,2576,1,boosting_capacidades,4,3.2385786976866715,-0.7614213023133285
consulta_externa,15218,Covarachía,Boyacá,2876,1,boosting_capacidades,3,2.83617000294746,-0.16382999705253987
consulta_externa,15223,Cubará,Boyacá,13622,1,boosting_capacidades,6,5.8019998684064475,-0.19800013159355245
consulta_externa,15224,Cucaita,Boyacá,3813,1,boosting_capacidades,5,4.1007060943757105,-0.8992939056242895
consulta_externa,15226,Cuítiva,Boyacá,1850,1,boosting_capacidades,1,3.110405401666396,2.110405401666396
consulta_externa,15232,Chíquiza,Boyacá,4795,1,boosting_capacidades,5,4.5963508599725715,-0.40364914002742847
consulta_externa,15236,Chivor,Boyacá,2773,1,boosting_capacidades,4,3.110405401666396,-0.8895945983336042
consulta_externa,15238,Duitama,Boyacá,137431,1,boosting_capacidades,227,151.3447201241587,-75.6552798758413
consulta_externa,15244,El Cocuy,Boyacá,4308,1,boosting_capacidades,4,2.6933099335654727,-1.3066900664345273
consulta_externa,15248,El Espino,Boyacá,3126,1,boosting_capacidades,4,3.9156145780076845,-0.08438542199231547
consulta_externa,15272,Firavitoba,Boyacá,7182,1,boosting_capacidades,4,4.781813500198061,0.7818135001980613
consulta_externa,15276,Floresta,Boyacá,3332,1,boosting_capacidades,5,3.946462335140176,-1.053537664859824
consulta_externa,15293,Gachantivá,Boyacá,2715,1,boosting_capacidades,5,2.83617000294746,-2.16382999705254
consulta_externa,15296,Gámeza,Boyacá,4584,1,boosting_capacidades,5,4.570221041274976,-0.4297789587250236
consulta_externa,15299,Garagoa,Boyacá,19609,1,boosting_capacidades,34,18.098242975832527,-15.901757024167473
consulta_externa,15317,Guacamayas,Boyacá,1797,1,boosting_capacidades,4,3.1195054573800207,-0.8804945426199793
consulta_externa,15322,Guateque,Boyacá,11471,1,boosting_capacidades,25,10.85782855850276,-14.14217144149724
consulta_externa,15325,Guayatá,Boyacá,3480,1,boosting_capacidades,4,3.946462335140176,-0.05353766485982403
consulta_externa,15332,Güicán de La Sierra,Boyacá,4375,1,boosting_capacidades,7,3.206258147016257,-3.793741852983743
consulta_externa,15362,Iza,Boyacá,1921,1,boosting_capacidades,5,3.2385786976866715,-1.7614213023133285
consulta_externa,15367,Jenesano,Boyacá,7403,1,boosting_capacidades,7,4.289717126943497,-2.710282873056503
consulta_externa,15368,Jericó,Boyacá,4021,1,boosting_capacidades,6,3.1788344848602708,-2.8211655151397292
consulta_externa,15377,Labranzagrande,Boyacá,3772,1,boosting_capacidades,1,3.1788344848602708,2.1788344848602708
consulta_externa,15380,La Capilla,Boyacá,2524,1,boosting_capacidades,4,3.08477156904911,-0.91522843095089
consulta_externa,15401,La Victoria,Boyacá,1164,1,boosting_capacidades,4,3.110405401666396,-0.8895945983336042
consulta_externa,15403,La Uvita,Boyacá,2795,1,boosting_capacidades,4,3.110405401666396,-0.8895945983336042
consulta_externa,15407,Villa de Leyva,Boyacá,20103,1,boosting_capacidades,13,11.480090572947654,-1.5199094270523457
consulta_externa,15425,Macanal,Boyacá,5367,1,boosting_capacidades,5,4.461232597281815,-0.538767402718185
consulta_externa,15442,Maripí,Boyacá,5883,1,boosting_capacidades,12,3.7890411618075053,-8.210958838192495
consulta_externa,15455,Miraflores,Boyacá,9055,1,boosting_capacidades,13,5.761618553394288,-7.238381446605712
consulta_externa,15464,Mongua,Boyacá,4458,1,boosting_capacidades,4,4.5963508599725715,0.5963508599725715
consulta_externa,15466,Monguí,Boyacá,4323,1,boosting_capacidades,4,3.0733995886892753,-0.9266004113107247
consulta_externa,15469,Moniquirá,Boyacá,23942,1,boosting_capacidades,24,23.310244192437697,-0.6897558075623031
consulta_externa,15476,Motavita,Boyacá,5175,1,boosting_capacidades,6,4.5963508599725715,-1.4036491400274285
consulta_externa,15480,Muzo,Boyacá,8037,1,boosting_capacidades,6,3.7336401880750256,-2.2663598119249744
consulta_externa,15491,Nobsa,Boyacá,17186,1,boosting_capacidades,8,9.499149214738095,1.499149214738095
