nivel,departamento,municipio,dimension,indicador_id,indicador,unidad,fuente,valor
departamental,Quindío,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,16
departamental,Quindío,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,41
departamental,Quindío,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,82
departamental,Quindío,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,62
departamental,Quindío,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,68
departamental,Quindío,,Marco normativo,en_decreto_1171,En Decreto 1171 de 2026 (desastre nacional),Sí/No (1-0),Decreto1171,1
departamental,Quindío,,Productividad,empresarios_afectados,Empresarios afectados (grave/crítico),Número,Camaras,934
departamental,Quindío,,Impacto humano,3is_fallecidos,"Fallecidos (3iS, oficial)",Número,3iS-Sheets,3.0
departamental,Quindío,,Impacto humano,3is_heridos,"Heridos (3iS, oficial)",Número,3iS-Sheets,315.0
departamental,Quindío,,Impacto humano,3is_desaparecidos,"Desaparecidos (3iS, oficial)",Número,3iS-Sheets,0.0
departamental,Quindío,,Impacto humano,3is_rescatados,"Rescatados (3iS, oficial)",Número,3iS-Sheets,1.0
departamental,Quindío,,Impacto humano,3is_familias,"Familias afectadas (3iS, oficial)",Número,3iS-Sheets,36057.0
departamental,Quindío,,Vivienda,3is_vivaveriadas,"Viviendas averiadas (3iS, oficial)",Número,3iS-Sheets,32604.0
departamental,Quindío,,Vivienda,3is_vivdestruidas,"Viviendas destruidas (3iS, oficial)",Número,3iS-Sheets,4294.0
departamental,Quindío,,Vivienda,3is_colapsos,"Colapsos (3iS, oficial)",Número,3iS-Sheets,115.0
departamental,Quindío,,Salud,3is_salud,"Puntos de salud afectados (3iS, oficial)",Número,3iS-Sheets,29.0
departamental,Quindío,,Educación,3is_educativos,"Puntos educativos afectados (3iS, oficial)",Número,3iS-Sheets,205.0
departamental,Quindío,,Instituciones,3is_comunitarios,"Puntos comunitarios afectados (3iS, oficial)",Número,3iS-Sheets,1317.0
departamental,Quindío,,Infraestructura,3is_vias,"Vías afectadas (3iS, oficial)",Número,3iS-Sheets,45.0
departamental,Quindío,,Infraestructura,3is_aeropuertos,"Aeropuertos afectados (3iS, oficial)",Número,3iS-Sheets,1.0
departamental,Quindío,,Infraestructura,3is_acueductos,"Acueductos afectados (3iS, oficial)",Número,3iS-Sheets,8.0
departamental,Quindío,,Vivienda,pnud_vd,Viviendas destruidas,Número,PNUD,2157
departamental,Quindío,,Vivienda,pnud_va,Viviendas averiadas,Número,PNUD,31692
departamental,Quindío,,Salud,pnud_csalud,Centros de salud afectados,Número,PNUD,18
departamental,Quindío,,Educación,pnud_cedu,Centros educativos afectados,Número,PNUD,199
departamental,Quindío,,Instituciones,pnud_ccom,Centros comunitarios afectados,Número,PNUD,1607
departamental,Quindío,,Vivienda,pnud_vivt_cop,Costo estimado vivienda (COP),COP,PNUD,4599434794643
departamental,Quindío,,Salud,pnud_salud_cop,Costo estimado salud (COP),COP,PNUD,13247715204
departamental,Quindío,,Educación,pnud_edu_cop,Costo estimado educación (COP),COP,PNUD,118823083474
departamental,Quindío,,Instituciones,pnud_com_cop,Costo estimado comunitario (COP),COP,PNUD,1326243774451
departamental,Quindío,,Infraestructura,pnud_infra_cop,Costo estimado infraestructura institucional (COP),COP,PNUD,1458314573130
departamental,Quindío,,Pérdidas económicas,pnud_tot_cop,Costo total estimado (COP),COP,PNUD,6057749367772
departamental,Quindío,,Escombros,undp_rapida_debris_households_m3,Escombros de vivienda (m³),m³,UNDP-RAPIDA,1042815
departamental,Quindío,,Escombros,undp_rapida_debris_buildings_m3,Escombros de edificaciones (m³),m³,UNDP-RAPIDA,256043
departamental,Quindío,,Escombros,undp_rapida_debris_infra_m3,Escombros de infraestructura (m³),m³,UNDP-RAPIDA,494791
departamental,Quindío,,Escombros,undp_rapida_debris_total_m3,Escombros totales (m³),m³,UNDP-RAPIDA,1883899
departamental,Quindío,,Pérdidas económicas,undp_rapida_econ_dmg_households_cop,Daño económico en vivienda (COP),COP,UNDP-RAPIDA,4599434794643
departamental,Quindío,,Pérdidas económicas,undp_rapida_econ_dmg_infra_cop,Daño económico en infraestructura (COP),COP,UNDP-RAPIDA,1458314573130
departamental,Quindío,,Pérdidas económicas,undp_rapida_econ_dmg_total_cop,Daño económico total (COP),COP,UNDP-RAPIDA,6057749367773
departamental,Chocó,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,14
departamental,Chocó,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,49
departamental,Chocó,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,71
departamental,Chocó,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,18
departamental,Chocó,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,46
departamental,Chocó,,Marco normativo,en_decreto_1171,En Decreto 1171 de 2026 (desastre nacional),Sí/No (1-0),Decreto1171,1
departamental,Chocó,,Productividad,empresarios_afectados,Empresarios afectados (grave/crítico),Número,Camaras,464
departamental,Chocó,,Impacto humano,3is_fallecidos,"Fallecidos (3iS, oficial)",Número,3iS-Sheets,12.0
departamental,Chocó,,Impacto humano,3is_heridos,"Heridos (3iS, oficial)",Número,3iS-Sheets,357.0
