departamento,vivienda_ajust_idx,vivienda_ajust_fuente,salud_ajust_idx,salud_ajust_fuente,educacion_ajust_idx,educacion_ajust_fuente,instituciones_ajust_idx,instituciones_ajust_fuente,economico_ajust_idx,economico_ajust_fuente,vulnerabilidad_ajust_idx,vulnerabilidad_ajust_fuente,compuesto_ajustado,n_dimensiones
Valle del Cauca,80.6,PNUD,100.0,PNUD,100.0,PNUD,100.0,3iS-Sheets,68.2,UNDP-RAPIDA,13.1,UNDP-RAPIDA,77.0,6
Chocó,46.2,PNUD,97.8,PNUD,29.5,PNUD,5.1,3iS-Sheets,37.7,UNDP-RAPIDA,100.0,UNDP-RAPIDA,52.7,6
Risaralda,100.0,PNUD,47.8,PNUD,36.6,PNUD,1.1,3iS-Sheets,100.0,UNDP-RAPIDA,6.8,UNDP-RAPIDA,48.7,6
Quindío,49.7,PNUD,19.6,PNUD,18.7,PNUD,38.3,3iS-Sheets,42.2,UNDP-RAPIDA,13.6,UNDP-RAPIDA,30.3,6
Caldas,28.7,PNUD,27.2,PNUD,44.9,PNUD,1.8,3iS-Sheets,27.4,UNDP-RAPIDA,17.3,UNDP-RAPIDA,24.5,6
Antioquia,6.4,PNUD,33.7,PNUD,49.5,PNUD,7.2,3iS-Sheets,4.3,UNDP-RAPIDA,10.4,UNDP-RAPIDA,18.6,6
Cauca,10.5,PNUD,21.7,PNUD,30.8,PNUD,2.7,3iS-Sheets,8.7,UNDP-RAPIDA,36.7,UNDP-RAPIDA,18.5,6
Tolima,1.6,PNUD,13.0,PNUD,18.4,PNUD,2.1,3iS-Sheets,2.1,UNDP-RAPIDA,32.4,UNDP-RAPIDA,11.6,6
Santander,0.0,PNUD,1.1,PNUD,1.8,PNUD,0.1,3iS-Sheets,0.0,UNDP-RAPIDA,44.3,UNDP-RAPIDA,7.9,6
Huila,0.8,PNUD,17.4,PNUD,11.6,PNUD,0.7,3iS-Sheets,1.0,UNDP-RAPIDA,5.1,UNDP-RAPIDA,6.1,6
Boyacá,0.0,Naboo,0.0,Naboo,2.7,FundacionExe,0.0,Naboo,,,17.0,UNDP-RAPIDA,4.0,5
Caquetá,0.0,PNUD,14.1,PNUD,3.7,PNUD,0.0,3iS-Sheets,0.1,UNDP-RAPIDA,,,3.6,5
Córdoba,0.0,Naboo,0.0,Naboo,10.5,FundacionExe,0.0,Naboo,,,,,2.6,4
Cundinamarca,0.1,PNUD,5.4,PNUD,7.5,PNUD,1.1,3iS-Sheets,0.6,UNDP-RAPIDA,0.0,UNDP-RAPIDA,2.5,6
Nariño,0.2,PNUD,2.2,PNUD,3.0,PNUD,0.1,3iS-Sheets,0.3,UNDP-RAPIDA,,,1.1,5
Bolívar,0.0,PNUD,2.2,PNUD,0.8,PNUD,0.1,3iS-Sheets,0.0,UNDP-RAPIDA,,,0.6,5
Sucre,0.0,PNUD,0.0,PNUD,2.2,PNUD,0.2,3iS-Sheets,0.1,UNDP-RAPIDA,,,0.5,5
Meta,0.0,Naboo,0.0,Naboo,1.6,FundacionExe,0.0,Naboo,,,,,0.4,4
Norte de Santander,0.1,PNUD,0.0,PNUD,1.7,PNUD,0.1,3iS-Sheets,0.2,UNDP-RAPIDA,,,0.4,5
Bogotá D.C.,0.0,Naboo,0.0,Naboo,0.0,Naboo,0.9,Naboo,,,,,0.2,4
Atlántico,0.0,Naboo,0.0,Naboo,0.3,FundacionExe,0.2,Naboo,,,,,0.1,4
Cesar,0.0,Naboo,0.0,Naboo,0.0,Naboo,0.0,Naboo,,,,,0.0,4
La Guajira,0.0,Naboo,0.0,Naboo,0.0,Naboo,0.0,Naboo,,,,,0.0,4
Magdalena,0.0,Naboo,0.0,Naboo,0.0,Naboo,0.0,Naboo,,,,,0.0,4
Putumayo,0.0,PNUD,0.0,PNUD,0.0,PNUD,0.0,Naboo,,,,,0.0,4
