departamento,municipio,vivienda_ajust_idx,vivienda_ajust_raw,vivienda_ajust_fuente,salud_ajust_idx,salud_ajust_raw,salud_ajust_fuente,educacion_ajust_idx,educacion_ajust_raw,educacion_ajust_fuente,instituciones_ajust_idx,instituciones_ajust_raw,instituciones_ajust_fuente,economico_ajust_idx,economico_ajust_raw,economico_ajust_fuente,vulnerabilidad_ajust_idx,vulnerabilidad_ajust_raw,vulnerabilidad_ajust_fuente,compuesto_ajustado,n_dimensiones
Risaralda,Pereira,100.0,39108,PNUD,100.0,34,PNUD,77.1,165,PNUD,,,,,,,,,,92.4,3
Valle del Cauca,Cali,,,,29.4,10.0,3iS-Sheets,100.0,214.0,3iS-Sheets,,,,,,,,,,64.7,2
Valle del Cauca,Santiago de Cali,0.0,0,PNUD,29.4,10,PNUD,100.0,214,PNUD,,,,,,,,,,43.1,3
Chocó,Quibdó,30.4,11881,PNUD,79.4,27,PNUD,52.8,113,PNUD,1.6,11.0,3iS-Sheets,,,,,,,41.0,4
Quindío,Quimbaya,8.5,3342,PNUD,2.9,1,PNUD,13.1,28,PNUD,100.0,639.0,3iS-Sheets,,,,,,,31.1,4
Quindío,Armenia,41.2,16130,PNUD,14.7,5,PNUD,22.4,48,PNUD,30.3,194.0,3iS-Sheets,,,,,,,27.2,4
Valle del Cauca,Roldanillo,11.4,4461,PNUD,8.8,3,PNUD,10.3,22,PNUD,67.9,434.0,3iS-Sheets,,,,,,,24.6,4
Valle del Cauca,Sevilla,5.3,2084,PNUD,5.9,2,PNUD,4.7,10,PNUD,63.2,404.0,3iS-Sheets,,,,,,,19.8,4
Caldas,Manizales,29.4,11500,PNUD,29.4,10,PNUD,15.4,33,PNUD,4.5,30.0,3iS-Sheets,,,,,,,19.7,4
Valle del Cauca,Trujillo,5.0,1950,PNUD,47.1,16,PNUD,14.0,30,PNUD,11.0,71.0,3iS-Sheets,,,,,,,19.3,4
Valle del Cauca,Palmira,1.0,402,PNUD,5.9,2,PNUD,60.7,130,PNUD,3.4,23.0,3iS-Sheets,,,,,,,17.8,4
