departamento,poblacion,indice_compuesto,salud_n,salud_incidencia_tasa_100k,salud_incidencia_idx,salud_severidad_promedio,salud_severidad_idx,salud_idx,vivienda_n,vivienda_incidencia_tasa_100k,vivienda_incidencia_idx,vivienda_severidad_promedio,vivienda_severidad_idx,vivienda_idx,instituciones_n,instituciones_incidencia_tasa_100k,instituciones_incidencia_idx,instituciones_severidad_promedio,instituciones_severidad_idx,instituciones_idx,educacion_n,educacion_incidencia_tasa_100k,educacion_incidencia_idx,educacion_severidad_promedio,educacion_severidad_idx,educacion_idx,econ_proxy_n,econ_proxy_incidencia_tasa_100k,econ_proxy_incidencia_idx,econ_proxy_severidad_promedio,econ_proxy_severidad_idx,econ_proxy_idx
Quindío,556000,71.43772575132499,16,2.8776978417266186,77.84541597491238,1.625,54.166666666666664,66.00604132078952,41,7.37410071942446,78.85773014241667,2.8536585365853657,100.0,89.42886507120834,82,14.74820143884892,94.29910616960976,1.7560975609756098,100.0,97.14955308480488,62,11.151079136690647,64.9966214873405,2.032258064516129,96.12031386224935,80.55846767479493,68,167.98561151079136,24.04570160502728,167.98561151079136,24.04570160502728,24.04570160502728
Risaralda,1007000,71.19175286697866,25,2.4826216484607744,67.15809843913121,1.76,58.666666666666664,62.91238255289893,35,3.475670307845084,37.16839267981273,2.3714285714285714,83.1013431013431,60.13486789057792,103,10.228401191658392,65.39977731636122,1.4077669902912622,80.16450916936354,72.78214324286239,35,3.475670307845084,20.258741297108088,2.1142857142857143,100.0,60.129370648554044,109,698.6097318768619,100.0,698.6097318768619,100.0,100.0
Caldas,1055000,67.0518061157811,39,3.6966824644549763,100.0,1.3076923076923077,43.58974358974359,71.7948717948718,59,5.592417061611374,59.80462327110939,2.2203389830508473,77.80675068810662,68.805686979608,165,15.639810426540285,100.0,1.4666666666666666,83.51851851851852,91.75925925925927,181,17.156398104265403,100.0,1.569060773480663,74.21233388084217,87.10616694042108,159,110.33175355450236,15.793045604745398,110.33175355450236,15.793045604745398,15.793045604745398
Chocó,524000,63.2932265291794,14,2.6717557251908395,72.27441769426501,1.6428571428571428,54.76190476190476,63.518161228084885,49,9.351145038167939,100.0,2.7551020408163267,96.54631083202513,98.27315541601257,71,13.549618320610687,86.6354383529956,1.591549295774648,90.62989045383412,88.63266440341486,18,3.435114503816794,20.02235249462275,1.8333333333333333,86.7117117117117,53.367032103167226,46,88.54961832061069,12.67511949521748,88.54961832061069,12.67511949521748,12.67511949521748
Valle del Cauca,4711000,43.90128137543048,93,1.9741031628104435,53.402021455513285,1.4731182795698925,49.10394265232975,51.252982053921514,121,2.5684568032264914,27.46676254878942,2.2231404958677685,77.90492335946881,52.685842954129114,244,5.179367437911272,33.116561496947824,1.5245901639344261,86.81693989071037,59.9667506938291,80,1.6981532583315644,9.898075621766854,1.525,72.12837837837837,41.01322700007261,263,101.910422415623,14.587604175200052,101.910422415623,14.587604175200052,14.587604175200052
Tolima,1313000,37.46574853072674,11,0.8377760853008377,22.66291717929189,1.6363636363636365,54.545454545454554,38.60418586237322,12,0.913937547600914,9.77353622332406,2.75,96.36752136752136,53.07052879542271,22,1.6755521706016754,10.713379030210712,1.5,85.41666666666666,48.06502284843869,11,0.8377760853008377,4.8831699999579214,1.9090909090909092,90.2948402948403,47.58900514739911,34,0.0,0.0,0.0,0.0,0.0
Cauca,1526000,27.80827919226606,11,0.7208387942332897,19.499613536310783,1.2727272727272727,42.42424242424242,30.961927980276602,5,0.327653997378768,3.503891727070907,2.0,70.08547008547009,36.7946809062705,18,1.1795543905635648,7.54199928511855,1.1111111111111112,63.27160493827161,35.40680211169508,9,0.5897771952817824,3.437651607857903,1.4444444444444444,68.31831831831832,35.87798496308811,18,0.0,0.0,0.0,0.0,0.0
Huila,991000,26.999748491498433,2,0.20181634712411703,5.459390928613935,2.0,66.66666666666666,36.0630287976403,15,1.513622603430878,16.186494779546532,1.2,42.05128205128205,29.11888841541429,7,0.7063572149344097,4.5164052227624385,1.0,56.94444444444444,30.73042483360344,33,3.3299697275479314,19.40949205835949,1.2424242424242424,58.763308763308764,39.08640041083413,3,0.0,0.0,0.0,0.0,0.0
Santander,1175000,26.908844938530574,1,0.0851063829787234,2.3022367703218767,3.0,100.0,51.15111838516094,5,0.4255319148936171,4.550586191923578,1.0,35.042735042735046,19.796660617329312,5,0.4255319148936171,2.7208252740167636,1.0,56.94444444444444,29.832634859230602,9,0.7659574468085107,4.464558598800989,1.3333333333333333,63.06306306306306,33.76381083093202,16,0.0,0.0,0.0,0.0,0.0
Antioquia,6384000,26.078463187861225,17,0.2662907268170426,7.2035055587687165,1.0588235294117647,35.294117647058826,21.248811602913772,20,0.31328320802005016,3.3502122653572712,1.8,63.07692307692309,33.21356767114018,74,1.1591478696741855,7.4115212273107005,1.2162162162162162,69.25675675675676,38.33413899203373,28,0.43859649122807015,2.5564602113017347,1.5357142857142858,72.63513513513514,37.59579767321844,60,0.0,0.0,0.0,0.0,0.0
